search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
nintendo switch 2,/watch?v=01lwz_7sqCQ&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@jonvaliagas,Jon Valiagas,Nintendo Switch 2: 8 Months Later... Is it Worth It in 2026?,7.4K views,1 day ago,"This is the Nintendo Switch 2, 8 months later... is the Nintendo Switch 2 worth it in 2026? Subscribe & Turn on Post-Notifications ...",2026-01-22 06:42:05.403917
nintendo switch 2,/watch?v=RAaVJoGWdfo&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@SunbroNation,Sunbro Nation,NEW Nintendo Switch 2 News & Leaks Just Hit!,16K views,15 hours ago,nintendoswitch2 ​​​#nintendoswitchonline ​#nintendo #switch2 Join me as we discuss all the newest Nintendo Switch 2 news ...,2026-01-22 06:42:05.405426
nintendo switch 2,/watch?v=itpcsQQvgAQ&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@NintendoAmerica,Nintendo of America,Nintendo Switch 2 – First-look trailer,25M views,1 year ago,"Introducing Nintendo Switch 2, the successor to Nintendo Switch, releasing in 2025. Learn more: https://ninten.do/6003ohKAB.",2026-01-22 06:42:05.406387
nintendo switch 2,/watch?v=gzfOj_YXKhs&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@SwitchUpYt,SwitchUp,Final Fantasy 7 Remake is BEYOND Expectations on Nintendo Switch 2 Review & Performance Analysis!,37K views,15 hours ago,Final Fantasy 7 Remake is finally here for Swwitch 2 and boy did Square do us Switch 2 owners right on this one.,2026-01-22 06:42:05.407847
nintendo switch 2,/watch?v=Qviwd67iz5s&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@TechFowler,Tech Fowler,Nintendo Switch 2 Review After 6 Months: Is It Actually Worth It?,132K views,1 month ago,Change your workflow with the Framer x Work Louder Creator Macro Pad! https://framer.link/TechFowler Is the Nintendo Switch 2 ...,2026-01-22 06:42:05.408952
nintendo switch 2,/watch?v=-NNCca97v98&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@mkbhd,Marques Brownlee,My Nintendo Switch 2 Review (Doesn't Matter?),3.1M views,6 months ago,The Switch 2 is pretty good. Also pricy. But it's really all about the games Save $35 on a dbrand Killswitch case for your Switch 2 at ...,2026-01-22 06:42:05.410720
nintendo switch 2,/watch?v=ZOvCj4ejqIA&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@BeatEmUps,BeatEmUps,The Nintendo Switch 2: Six Months Later,731K views,1 month ago,"Is the Nintendo Switch 2 WORTH BUYING? Six Months into the Nintendo Switch 2, Mario Kart World, Metroid Prime 4: Beyond, ...",2026-01-22 06:42:05.411864
nintendo switch 2,/watch?v=9flte56erE8&pp=ygURbmludGVuZG8gc3dpdGNoIDLSBwkJhwoBhyohjO8%3D,/@NintendoAmerica,Nintendo of America,Nintendo Switch 2 – Overview Trailer,5.7M views,9 months ago,"All Together, Anytime, Anywhere. The Nintendo Switch 2 system launches on June 5, 2025! Learn more: ...",2026-01-22 06:42:05.412988
nintendo switch 2,/watch?v=sl2YybDiluQ&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@NintendoAmerica,Nintendo of America,Donkey Kong Country Returns HD – Update Overview – Nintendo Switch & Nintendo Switch 2,489K views,1 day ago,"A free software update for the Donkey Kong Country Returns HD game is available now, only on the Nintendo Switch 2 and ...",2026-01-22 06:42:05.413934
nintendo switch 2,/watch?v=yUjYGy7cqog&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@DigitalFoundry,Digital Foundry,Final Fantasy 7 Remake Intergrade Switch 2 Review: A PS5/PS4 Hybrid Boosted By DLSS,116K views,19 hours ago,Many thanks to FlexiSpot for sponsoring this video and upgrading John's workstation! Use the links below and leave a note saying ...,2026-01-22 06:42:05.415385
